run_signature,run_id,dataset_id,dataset_label,backend,seed,status,run_root,metrics_path,run_runtime_seconds,stage05_runtime_seconds,stage09_runtime_seconds,warning_count,error_type,error_message
compact_validation_fixture__girth__seed_7,compact_validation_fixture__girth__seed_7,compact_validation_fixture,compact validation fixture,girth,7,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/compact_validation_fixture/girth/compact_validation_fixture__girth__seed_7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/compact_validation_fixture/girth/compact_validation_fixture__girth__seed_7/reports/metrics.json,5.877460290910676,1.0147382919676602,2.789972124970518,6.0,,
compact_validation_fixture__girth__seed_11,compact_validation_fixture__girth__seed_11,compact_validation_fixture,compact validation fixture,girth,11,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/compact_validation_fixture/girth/compact_validation_fixture__girth__seed_11,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/compact_validation_fixture/girth/compact_validation_fixture__girth__seed_11/reports/metrics.json,5.721923792269081,0.7974630410317332,2.929574375040829,6.0,,
compact_validation_fixture__girth__seed_19,compact_validation_fixture__girth__seed_19,compact_validation_fixture,compact validation fixture,girth,19,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/compact_validation_fixture/girth/compact_validation_fixture__girth__seed_19,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/compact_validation_fixture/girth/compact_validation_fixture__girth__seed_19/reports/metrics.json,5.588690669159405,0.782601666986011,2.7225937499897555,6.0,,
large_release_default_subset__girth__seed_7,large_release_default_subset__girth__seed_7,large_release_default_subset,large release-default subset,girth,7,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/large_release_default_subset/girth/large_release_default_subset__girth__seed_7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/large_release_default_subset/girth/large_release_default_subset__girth__seed_7/reports/metrics.json,673.8113872079412,364.0606208330719,15.752566208015196,14.0,,
large_release_default_subset__girth__seed_11,large_release_default_subset__girth__seed_11,large_release_default_subset,large release-default subset,girth,11,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/large_release_default_subset/girth/large_release_default_subset__girth__seed_11,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/large_release_default_subset/girth/large_release_default_subset__girth__seed_11/reports/metrics.json,684.5063364580274,382.7543942909688,10.927093207952566,14.0,,
large_release_default_subset__girth__seed_19,large_release_default_subset__girth__seed_19,large_release_default_subset,large release-default subset,girth,19,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/large_release_default_subset/girth/large_release_default_subset__girth__seed_19,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/large_release_default_subset/girth/large_release_default_subset__girth__seed_19/reports/metrics.json,360.23015812493395,177.434779958101,5.782438958995044,14.0,,
synthetic_dense_overlap__girth__seed_7,synthetic_dense_overlap__girth__seed_7,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,7,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_dense_overlap/girth/synthetic_dense_overlap__girth__seed_7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_dense_overlap/girth/synthetic_dense_overlap__girth__seed_7/reports/metrics.json,9.718360789003782,4.861954791005701,0.9350778330117464,17.0,,
synthetic_dense_overlap__girth__seed_11,synthetic_dense_overlap__girth__seed_11,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,11,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_dense_overlap/girth/synthetic_dense_overlap__girth__seed_11,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_dense_overlap/girth/synthetic_dense_overlap__girth__seed_11/reports/metrics.json,9.771473041852005,4.904519916977733,0.955174749949947,17.0,,
synthetic_dense_overlap__girth__seed_19,synthetic_dense_overlap__girth__seed_19,synthetic_dense_overlap,synthetic dense-overlap bundle,girth,19,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_dense_overlap/girth/synthetic_dense_overlap__girth__seed_19,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_dense_overlap/girth/synthetic_dense_overlap__girth__seed_19/reports/metrics.json,9.732513043214567,4.857854292029515,0.9378471670206636,17.0,,
synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap__girth__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,7,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_sparse_overlap/girth/synthetic_sparse_overlap__girth__seed_7,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_sparse_overlap/girth/synthetic_sparse_overlap__girth__seed_7/reports/metrics.json,8.415037541184574,3.7810109170386568,1.0548784580314532,47.0,,
synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap__girth__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,11,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_sparse_overlap/girth/synthetic_sparse_overlap__girth__seed_11,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_sparse_overlap/girth/synthetic_sparse_overlap__girth__seed_11/reports/metrics.json,8.489163374062628,3.859911625040695,1.0556206250330433,47.0,,
synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap__girth__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,girth,19,ok,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_sparse_overlap/girth/synthetic_sparse_overlap__girth__seed_19,/Users/jeremykalfus/CodingProjects/BenchIQ/reports/irt_backend_comparison/workdir/synthetic_sparse_overlap/girth/synthetic_sparse_overlap__girth__seed_19/reports/metrics.json,8.466407416970469,3.8191742920316756,1.0683205000823364,47.0,,
compact_validation_fixture__bayes_mcmc__seed_7,compact_validation_fixture__bayes_mcmc__seed_7,compact_validation_fixture,compact validation fixture,bayes_mcmc,7,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
compact_validation_fixture__bayes_mcmc__seed_11,compact_validation_fixture__bayes_mcmc__seed_11,compact_validation_fixture,compact validation fixture,bayes_mcmc,11,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
compact_validation_fixture__bayes_mcmc__seed_19,compact_validation_fixture__bayes_mcmc__seed_19,compact_validation_fixture,compact validation fixture,bayes_mcmc,19,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
large_release_default_subset__bayes_mcmc__seed_7,large_release_default_subset__bayes_mcmc__seed_7,large_release_default_subset,large release-default subset,bayes_mcmc,7,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
large_release_default_subset__bayes_mcmc__seed_11,large_release_default_subset__bayes_mcmc__seed_11,large_release_default_subset,large release-default subset,bayes_mcmc,11,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
large_release_default_subset__bayes_mcmc__seed_19,large_release_default_subset__bayes_mcmc__seed_19,large_release_default_subset,large release-default subset,bayes_mcmc,19,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
synthetic_dense_overlap__bayes_mcmc__seed_7,synthetic_dense_overlap__bayes_mcmc__seed_7,synthetic_dense_overlap,synthetic dense-overlap bundle,bayes_mcmc,7,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
synthetic_dense_overlap__bayes_mcmc__seed_11,synthetic_dense_overlap__bayes_mcmc__seed_11,synthetic_dense_overlap,synthetic dense-overlap bundle,bayes_mcmc,11,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
synthetic_dense_overlap__bayes_mcmc__seed_19,synthetic_dense_overlap__bayes_mcmc__seed_19,synthetic_dense_overlap,synthetic dense-overlap bundle,bayes_mcmc,19,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
synthetic_sparse_overlap__bayes_mcmc__seed_7,synthetic_sparse_overlap__bayes_mcmc__seed_7,synthetic_sparse_overlap,synthetic sparse-overlap bundle,bayes_mcmc,7,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
synthetic_sparse_overlap__bayes_mcmc__seed_11,synthetic_sparse_overlap__bayes_mcmc__seed_11,synthetic_sparse_overlap,synthetic sparse-overlap bundle,bayes_mcmc,11,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
synthetic_sparse_overlap__bayes_mcmc__seed_19,synthetic_sparse_overlap__bayes_mcmc__seed_19,synthetic_sparse_overlap,synthetic sparse-overlap bundle,bayes_mcmc,19,skipped,,,,,,,SkippedRun,skipped after parity-gate failure
