run_signature,run_id,search_stage,dataset_id,dataset_label,profile_id,family,description,preselection_method,seed,is_baseline,benchmark_id,refused,refusal_reasons,benchmark_warning_count,run_warning_count,retained_models,retained_items,selected_items_final,selected_items_preselect,joint_available,best_available_model_type,best_available_test_rmse,best_available_test_mae,best_available_test_pearson,best_available_test_spearman,marginal_test_rmse,marginal_test_mae,marginal_test_pearson,marginal_test_spearman,joint_test_rmse,joint_test_mae,joint_test_pearson,joint_test_spearman,run_runtime_seconds,stage01_runtime_seconds,stage04_runtime_seconds,stage09_runtime_seconds,requested_drop_low_tail_models_quantile,effective_drop_low_tail_models_quantile,requested_min_item_sd,effective_min_item_sd,requested_max_item_mean,effective_max_item_mean,requested_min_abs_point_biserial,effective_min_abs_point_biserial,requested_min_models_per_item,effective_min_models_per_item,requested_min_item_coverage,effective_min_item_coverage
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,ollb_v1_metabench_source__release_default_subset_20260405__arc,False,,0,6,180,56,30,40,True,joint,3.2159664321873533,2.510947535927809,0.9813416640873764,0.9786711390359413,3.8770753049162914,2.9494880502314,0.9734120327017951,0.9833521133374935,3.2159664321873533,2.510947535927809,0.9813416640873764,0.9786711390359413,27.03394412389025,1.551922457991168,8.334441250073723,6.475828666007146,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,ollb_v1_metabench_source__release_default_subset_20260405__gsm8k,False,,0,6,180,60,30,40,True,joint,6.247931715595598,5.082943799604359,0.9806299908199686,0.9725594715738913,6.518117011691742,5.291683556751894,0.9793691084318877,0.9725594715738913,6.247931715595598,5.082943799604359,0.9806299908199686,0.9725594715738913,27.03394412389025,1.551922457991168,8.334441250073723,6.475828666007146,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,ollb_v1_metabench_source__release_default_subset_20260405__hellaswag,False,,0,6,180,42,30,40,True,marginal,1.740946168601094,1.1364518209204726,0.9960229768663502,0.9885906877056275,1.740946168601094,1.1364518209204726,0.9960229768663502,0.9885906877056275,1.7477306669591026,1.2832487883557129,0.9959685442733859,0.9849667484280902,27.03394412389025,1.551922457991168,8.334441250073723,6.475828666007146,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,ollb_v1_metabench_source__release_default_subset_20260405__mmlu,False,,0,6,180,58,30,40,True,joint,3.181044449621507,2.757718275737314,0.9847344026901899,0.949632044479052,2.927054005851208,2.19749697867264,0.9871418490692543,0.9828795558831327,3.181044449621507,2.757718275737314,0.9847344026901899,0.949632044479052,27.03394412389025,1.551922457991168,8.334441250073723,6.475828666007146,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,ollb_v1_metabench_source__release_default_subset_20260405__truthfulqa,False,,0,6,180,52,30,40,True,joint,3.5086233591863123,2.4743076640560298,0.9741631614203796,0.9787927209017548,4.1519731929439265,3.4275710044629246,0.9645081012056858,0.9736193978525912,3.5086233591863123,2.4743076640560298,0.9741631614203796,0.9787927209017548,27.03394412389025,1.551922457991168,8.334441250073723,6.475828666007146,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,random_cv,7,True,ollb_v1_metabench_source__release_default_subset_20260405__winogrande,False,,0,6,180,47,30,40,True,joint,2.376229054332872,2.076471463939955,0.983669925975504,0.9544123443115805,2.984213755152444,2.4201725772676332,0.9757042152604094,0.9409407259879644,2.376229054332872,2.076471463939955,0.983669925975504,0.9544123443115805,27.03394412389025,1.551922457991168,8.334441250073723,6.475828666007146,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,ollb_v1_metabench_source__release_default_subset_20260405__arc,False,,0,6,180,56,30,40,True,marginal,3.517537695546684,2.69277444604896,0.9773670171566535,0.9781326222900546,3.517537695546684,2.69277444604896,0.9773670171566535,0.9781326222900546,3.738386851249633,2.798257603897159,0.9775862554899802,0.977627779612662,18.732058332068846,1.3241673330776393,0.9489962919615209,6.48130520794075,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,ollb_v1_metabench_source__release_default_subset_20260405__gsm8k,False,,0,6,180,60,30,40,True,marginal,5.246132692313264,4.1403936634596565,0.9829230140490554,0.9818811278509575,5.246132692313264,4.1403936634596565,0.9829230140490554,0.9818811278509575,5.20159567368059,3.98847227319719,0.983764669822589,0.9735952111602322,18.732058332068846,1.3241673330776393,0.9489962919615209,6.48130520794075,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,ollb_v1_metabench_source__release_default_subset_20260405__hellaswag,False,,0,6,180,42,30,40,True,joint,2.3066389516282952,1.6857587048077736,0.992950151071546,0.9756256517622812,2.285017680611956,1.7677409238382455,0.9930469082806531,0.9719757181643564,2.3066389516282952,1.6857587048077736,0.992950151071546,0.9756256517622812,18.732058332068846,1.3241673330776393,0.9489962919615209,6.48130520794075,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,ollb_v1_metabench_source__release_default_subset_20260405__mmlu,False,,0,6,180,58,30,40,True,marginal,3.671024999354481,3.0082231442366987,0.9816244853405071,0.9646757279013891,3.671024999354481,3.0082231442366987,0.9816244853405071,0.9646757279013891,3.261707698295486,2.6961955880619635,0.9847321631960734,0.9787236169576226,18.732058332068846,1.3241673330776393,0.9489962919615209,6.48130520794075,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,ollb_v1_metabench_source__release_default_subset_20260405__truthfulqa,False,,0,6,180,52,30,40,True,joint,2.59378795687386,2.06591424485619,0.986785462037639,0.9932780254394129,2.7808482461167254,2.212107790413676,0.9851871645206881,0.9953473546590783,2.59378795687386,2.06591424485619,0.986785462037639,0.9932780254394129,18.732058332068846,1.3241673330776393,0.9489962919615209,6.48130520794075,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::psychometric_default::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__psychometric_default__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),psychometric_default,psychometric_default,spec-aligned psychometric defaults,deterministic_info,7,True,ollb_v1_metabench_source__release_default_subset_20260405__winogrande,False,,0,6,180,47,30,40,True,joint,2.3425840455593687,1.8173198905553842,0.9876514798095367,0.9886095292869141,2.533481227819309,1.8481987601116556,0.989289791216954,0.9689202409677825,2.3425840455593687,1.8173198905553842,0.9876514798095367,0.9886095292869141,18.732058332068846,1.3241673330776393,0.9489962919615209,6.48130520794075,0.001,0.001,0.01,0.01,0.95,0.95,0.05,0.05,40,40,0.8,0.8
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,ollb_v1_metabench_source__release_default_subset_20260405__arc,False,,0,6,180,58,30,40,True,joint,4.095048371267341,2.708727350244022,0.9677291132251085,0.958557457641924,4.2045858084824665,2.79064333796216,0.966042773363937,0.9316142209946915,4.095048371267341,2.708727350244022,0.9677291132251085,0.958557457641924,32.7399767478928,1.1836173329502344,6.958726915996522,10.929824916063808,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,ollb_v1_metabench_source__release_default_subset_20260405__gsm8k,False,,0,6,180,60,30,40,True,marginal,5.612890439467598,4.404323230262374,0.9819706869672886,0.9771789489996794,5.612890439467598,4.404323230262374,0.9819706869672886,0.9771789489996794,4.876478606243213,4.13961696761022,0.9872693513056988,0.9865472005464325,32.7399767478928,1.1836173329502344,6.958726915996522,10.929824916063808,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,ollb_v1_metabench_source__release_default_subset_20260405__hellaswag,False,,0,6,180,59,30,40,True,marginal,2.9284738312826115,1.8465709462101185,0.9874217995589432,0.9709430411673844,2.9284738312826115,1.8465709462101185,0.9874217995589432,0.9709430411673844,3.583396006818194,2.2668085970921976,0.9810970139111264,0.9532895313279774,32.7399767478928,1.1836173329502344,6.958726915996522,10.929824916063808,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,ollb_v1_metabench_source__release_default_subset_20260405__mmlu,False,,0,6,180,60,30,40,True,joint,3.5335512882101474,2.88098707377181,0.9817685513221279,0.9860476967108819,4.2845532150608365,2.8871345541242954,0.9730540501050162,0.9808797318434245,3.5335512882101474,2.88098707377181,0.9817685513221279,0.9860476967108819,32.7399767478928,1.1836173329502344,6.958726915996522,10.929824916063808,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,ollb_v1_metabench_source__release_default_subset_20260405__truthfulqa,False,,0,6,180,52,30,40,True,joint,3.5755463198451656,2.681085946400616,0.9765503149281285,0.9741247803926475,3.7032357955374433,2.877776493394475,0.9733678297470897,0.9730895787131655,3.5755463198451656,2.681085946400616,0.9765503149281285,0.9741247803926475,32.7399767478928,1.1836173329502344,6.958726915996522,10.929824916063808,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::random_cv::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__random_cv__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,random_cv,7,False,ollb_v1_metabench_source__release_default_subset_20260405__winogrande,False,,0,6,180,60,30,40,True,marginal,3.510822803720863,2.8410844875313592,0.9386107727322619,0.9010934401163849,3.510822803720863,2.8410844875313592,0.9386107727322619,0.9010934401163849,3.3215053856304992,2.7979062943460073,0.945406080225618,0.9031649192890663,32.7399767478928,1.1836173329502344,6.958726915996522,10.929824916063808,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,ollb_v1_metabench_source__release_default_subset_20260405__arc,False,,0,6,180,58,30,40,True,marginal,4.488584204798919,2.9920299901561975,0.9610705980646077,0.9616662926396816,4.488584204798919,2.9920299901561975,0.9610705980646077,0.9616662926396816,4.214721790347981,3.0009559487558732,0.9670655669073884,0.9461221176508936,24.73198849882465,1.533970250049606,0.9975369999883696,6.355543458019383,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,ollb_v1_metabench_source__release_default_subset_20260405__gsm8k,False,,0,6,180,60,30,40,True,marginal,4.766224469351963,3.8383460597370487,0.9871609615678082,0.9787707591489497,4.766224469351963,3.8383460597370487,0.9871609615678082,0.9787707591489497,4.663869054398489,3.5324978941664154,0.9881266185018422,0.9710191753542011,24.73198849882465,1.533970250049606,0.9975369999883696,6.355543458019383,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
portfolio_optimize::ollb_v1_metabench_source__release_default_subset_20260405::reconstruction_first::deterministic_info::seed-7,portfolio_optimize__ollb_v1_metabench_source__release_default_subset_20260405__reconstruction_first__deterministic_info__seed-7,portfolio_optimize,ollb_v1_metabench_source__release_default_subset_20260405,Open LLM Leaderboard v1 / MetaBench-source (local release-default subset export),reconstruction_first,reconstruction_first,current reconstruction-first defaults,deterministic_info,7,False,ollb_v1_metabench_source__release_default_subset_20260405__hellaswag,False,,0,6,180,59,30,40,True,marginal,2.6358798991769534,1.8925934503461381,0.9924561709268588,0.9574182288482243,2.6358798991769534,1.8925934503461381,0.9924561709268588,0.9574182288482243,2.986846917895322,1.9848556916517524,0.9906171364734883,0.9491357643069405,24.73198849882465,1.533970250049606,0.9975369999883696,6.355543458019383,0.002,0.002,0.0,0.0,0.99,0.99,0.0,0.0,40,40,0.7,0.7
